rule,quality,size,size_pct,response_rate,bau,lift
EFX_AL_DQOCURNC_5==0.0 AND EFX_BC_DQOCURNC_3==0.0 AND FICO: [664.0:694.0[,0.000189,10947,10.95,0.2375,0.41,0.579
EFX_AL_DQOCURNC_1==0.0 AND EFX_BC_INQCNT_1==0.0 AND EFX_BC_UTIL_1: [16.0:35.0[,0.000186,10881,10.88,0.2389,0.41,0.583
EFX_BC_DQOCURNC_3==0.0 AND EFX_BC_INQCNT_1==0.0 AND FICO: [664.0:694.0[,0.000165,10616,10.62,0.2543,0.41,0.62
EFX_BC_DQOCURNC_5==0.0 AND EFX_BC_INQCNT_1==0.0 AND FICO: [694.0:730.0[,0.000195,13060,13.06,0.2603,0.41,0.635
EFX_BC_DQOCURNC_3==0.0 AND FICO: [664.0:694.0[,0.00019,12939,12.94,0.2628,0.41,0.641
EFX_AL_BAL_1: [67488.0:135936.0[ AND EFX_AL_DQOCURNC_1==0.0,0.000176,13079,13.08,0.2753,0.41,0.671
EFX_AL_BAL_1: [67488.0:135936.0[ AND EFX_BC_DQOCURNC_5==0.0,0.000201,15644,15.64,0.2813,0.41,0.686
EFX_BC_INQCNT_1==0.0 AND EFX_BC_UTIL_1: [16.0:35.0[,0.000196,15260,15.26,0.2818,0.41,0.687
EFX_BC_INQCNT_1==0.0 AND EFX_BC_TRDAGE_2: [48.0:84.0[,0.000189,15334,15.33,0.2869,0.41,0.7
EFX_AL_BAL_1: [67488.0:135936.0[,0.000209,18516,18.52,0.297,0.41,0.724
EFX_AL_BAL_1: [67488.0:135936.0[ AND EFX_BC_INQCNT_1==0.0,0.00017,15134,15.13,0.2973,0.41,0.725
EFX_BC_INQCNT_1==0.0 AND EFX_BC_TRDAGE_3: [4.0:15.0[,0.000171,15387,15.39,0.299,0.41,0.729
EFX_BC_DQOCURNC_5==0.0 AND FICO: [694.0:730.0[,0.00017,15861,15.86,0.3026,0.41,0.738
EFX_BC_TRDAGE_2: [48.0:84.0[,0.000175,18647,18.65,0.3164,0.41,0.772
EFX_BC_INQCNT_1==0.0 AND EFX_BC_INQCNT_4: [0.0:1.0[ AND EFX_BC_TRDCNT_4: [0.0:1.0[,0.00017,19034,19.03,0.3205,0.41,0.782
EFX_BC_UTIL_1: [16.0:35.0[,0.000165,18661,18.66,0.3215,0.41,0.784
EFX_BC_DQOCURNC_3==0.0 AND EFX_BC_INQCNT_1==0.0 AND EFX_BC_INQCNT_4: [0.0:1.0[,0.000231,29529,29.53,0.3319,0.41,0.809
EFX_BC_DQOCURNC_3==0.0 AND EFX_BC_DQOCURNC_5==0.0 AND EFX_BC_INQCNT_4: [0.0:1.0[,0.000205,30362,30.36,0.3425,0.41,0.835
EFX_AL_DQOCURNC_1==0.0 AND EFX_BC_DQOCURNC_3==0.0 AND EFX_BC_TRDCNT_5: [0.0:1.0[,0.000171,27098,27.1,0.3469,0.41,0.846
EFX_BC_DQOCURNC_3==0.0 AND EFX_BC_INQCNT_4: [0.0:1.0[,0.000215,35981,35.98,0.3502,0.41,0.854
EFX_BC_DQOCURNC_3==0.0 AND EFX_BC_INQCNT_1==0.0 AND EFX_BC_INQCNT_2==0.0,0.000208,36285,36.28,0.3528,0.41,0.86
EFX_BC_INQCNT_1==0.0 AND EFX_BC_INQCNT_4: [0.0:1.0[,0.000202,41505,41.51,0.3614,0.41,0.881
EFX_AL_DQOCURNC_1==0.0 AND EFX_BC_DQOCURNC_3==0.0 AND EFX_BC_INQCNT_1==0.0,0.000184,41551,41.55,0.3658,0.41,0.892
EFX_BC_DQOCURNC_3==0.0 AND EFX_BC_INQCNT_1==0.0,0.000225,58408,58.41,0.3715,0.41,0.906
EFX_BC_DQOCURNC_3==0.0 AND EFX_BC_DQOCURNC_5==0.0 AND EFX_BC_INQCNT_1==0.0,0.000185,49396,49.4,0.3725,0.41,0.909
