feature,rule,size,size_pct,response_rate,bau,lift
CURRENT_INCOME,CURRENT_INCOME > 2.92e+05 AND CURRENT_INCOME <= 3.46e+05,1705,1.71,0.0587,0.41,0.143
EFX_BC_TRDAGE_1,EFX_BC_TRDAGE_1 > 202 AND EFX_BC_TRDAGE_1 <= 210,3570,3.57,0.1401,0.41,0.342
EFX_BC_TRDAGE_3,EFX_BC_TRDAGE_3 > 55.5,2083,2.08,0.144,0.41,0.351
EFX_AL_TRDAGE_1,EFX_AL_TRDAGE_1 <= 78.5 AND EFX_AL_TRDAGE_1 > 55.5,4009,4.01,0.1746,0.41,0.426
EFX_AL_TRDCNT_1,EFX_AL_TRDCNT_1 > 38.5,1685,1.69,0.178,0.41,0.434
EFX_BC_BAL_1,EFX_BC_BAL_1 > 3.13e+04 AND EFX_BC_BAL_1 <= 4.37e+04,4221,4.22,0.1895,0.41,0.462
EFX_BC_BAL_5,EFX_BC_BAL_5 > 1.11e+03 AND EFX_BC_BAL_5 <= 2.18e+03,11080,11.08,0.2347,0.41,0.572
EFX_BC_TRDCNT_4,EFX_BC_TRDCNT_4 > 2.5,2117,2.12,0.2362,0.41,0.576
EFX_BC_TRDAGE_2,EFX_BC_TRDAGE_2 <= 82.5 AND EFX_BC_TRDAGE_2 > 64.5,10093,10.09,0.2378,0.41,0.58
EFX_AR_BAL_1,EFX_AR_BAL_1 > 4.44e+04 AND EFX_AR_BAL_1 > 8.82e+04,2825,2.83,0.2478,0.41,0.604
EFX_AL_BAL_1,EFX_AL_BAL_1 > 5.2e+04 AND EFX_AL_BAL_1 <= 1.48e+05,28021,28.02,0.2784,0.41,0.679
EFX_AL_DQOCURNC_3,EFX_AL_DQOCURNC_3 > 0.5 AND EFX_AL_DQOCURNC_3 > 1.5,4570,4.57,0.2845,0.41,0.694
EFX_AL_BAL_1,EFX_AL_BAL_1 <= 5.2e+04 AND EFX_AL_BAL_1 <= 9.63e+03,7893,7.89,0.2914,0.41,0.711
EFX_BC_INQCNT_2,EFX_BC_INQCNT_2 > 1.5 AND EFX_BC_INQCNT_2 > 2.5,1350,1.35,0.2963,0.41,0.723
EFX_AR_BAL_1,EFX_AR_BAL_1 <= 4.44e+04 AND EFX_AR_BAL_1 > 3.13e+04,5366,5.37,0.2982,0.41,0.727
CURRENT_INCOME,CURRENT_INCOME > 2.92e+05 AND CURRENT_INCOME > 3.46e+05,2959,2.96,0.3042,0.41,0.742
EFX_BC_TRDCNT_1,EFX_BC_TRDCNT_1 > 0.5 AND EFX_BC_TRDCNT_1 > 8.5,8396,8.4,0.3097,0.41,0.755
EFX_AL_DQOCURNC_3,EFX_AL_DQOCURNC_3 > 0.5 AND EFX_AL_DQOCURNC_3 <= 1.5,15572,15.57,0.3147,0.41,0.767
