feature,mean_abs_shap
EFX_BC_UTIL_1,0.057804541972395984
EFX_AL_BAL_1,0.05686810620639684
EFX_AL_TRDAGE_1,0.03570991407133566
FICO,0.03508634190863441
EFX_AL_DQOCURNC_3,0.03076606998462338
EFX_BC_BAL_5,0.024509067666477608
EFX_BC_TRDAGE_1,0.022425382292937696
EFX_AL_TRDCNT_1,0.021302785408885846
EFX_BC_INQCNT_4,0.020209528704632582
EFX_BC_TRDCNT_1,0.019098321711643662
EFX_BC_TRDAGE_3,0.017394884458871683
CURRENT_INCOME,0.016133738876202095
EFX_AL_TRDCNT_5,0.015997141521015796
EFX_BC_TRDAGE_2,0.015378287587340805
EFX_BC_INQCNT_1,0.01487654974435651
PV,0.013089815354309824
EFX_BC_BAL_1,0.012810822432798847
EFX_AR_BAL_1,0.00963286637024869
EFX_BC_TRDCNT_5,0.007233311343840662
EFX_BC_DQOCURNC_5,0.005630054724927273
EFX_AL_DQOCURNC_1,0.0014379999191099497
EFX_AL_DQOCURNC_2,0.0009247194426773926
EFX_BC_INQCNT_2,0.0005360414724479848
EFX_BC_TRDCNT_4,0.0
EFX_AL_DQOCURNC_5,0.0
EFX_BC_DQOCURNC_3,0.0
